x,1s,2s,3s
0.000000000000000000e+00,5.641895835477562793e-01,1.994711402007163514e-01,1.085783359784266433e-01
5.172413793103448620e-01,3.363488807217190901e-01,8.816281637346390365e-02,6.168253588459790548e-02
1.034482758620689724e+00,2.005187136766363176e-01,3.422472397823698997e-02,2.996558295809506958e-02
1.551724137931034697e+00,1.195418116101865658e-01,9.473058044168442687e-03,9.313168900508896758e-03
2.068965517241379448e+00,7.126638936099649602e-02,-8.688439170317507768e-04,-3.390097178984961303e-03
2.586206896551724199e+00,4.248637513638252317e-02,-4.402766098607909830e-03,-1.048600232007736860e-02
3.103448275862069394e+00,2.532879928974392930e-02,-4.940735375749227658e-03,-1.371981389707106411e-02
3.620689655172414145e+00,1.510008964993470558e-02,-4.326178120997420384e-03,-1.437906316584445718e-02
4.137931034482758896e+00,9.002112766095133126e-03,-3.402225938608062408e-03,-1.340197363062784093e-02
4.655172413793104091e+00,5.366725372643292233e-03,-2.518993867152344909e-03,-1.146188319070997295e-02
5.172413793103448398e+00,3.199442394662059368e-03,-1.794275534671350937e-03,-9.032725332978292637e-03
5.689655172413793593e+00,1.907388756827535850e-03,-1.244084871563405550e-03,-6.439603695379165181e-03
6.206896551724138789e+00,1.137114353345427186e-03,-8.456506462817511881e-04,-3.897667423914712853e-03
6.724137931034483096e+00,6.779053551384147920e-04,-5.661306197076170117e-04,-1.541832392600387888e-03
7.241379310344828291e+00,4.041420013504465770e-04,-3.744592720432323970e-04,5.506364330305372817e-04
7.758620689655172598e+00,2.409344549611879395e-04,-2.452688501413648409e-04,2.343089318023594894e-03
8.275862068965517793e+00,1.436361758824167766e-04,-1.593537305707691271e-04,3.826747956025547057e-03
8.793103448275862988e+00,8.563055468944057061e-05,-1.028305115675929638e-04,5.011267254920848124e-03
9.310344827586208183e+00,5.104975714769702938e-05,-6.597152969739100714e-05,5.917829749914995004e-03
9.827586206896551602e+00,3.043396967695006860e-05,-4.211254360774443681e-05,6.574168821484718817e-03
1.034482758620689680e+01,1.814360267410789715e-05,-2.676491728979215506e-05,7.011050704153348051e-03
1.086206896551724199e+01,1.081654222206890673e-05,-1.694527362959820192e-05,7.259850880537645386e-03
1.137931034482758719e+01,6.448420842502385370e-06,-1.069176217883142433e-05,7.350943591930802525e-03
1.189655172413793238e+01,3.844309069230965929e-06,-6.725540710303933949e-06,7.312688458966706134e-03
1.241379310344827758e+01,2.291834323585556325e-06,-4.219074315966864474e-06,7.170849277996253594e-03
1.293103448275862100e+01,1.366306525353230743e-06,-2.640185354606669310e-06,6.948319889282057391e-03
1.344827586206896619e+01,8.145412179281057604e-07,-1.648459046775578795e-06,6.665062958154538593e-03
1.396551724137931139e+01,4.855992293034488284e-07,-1.027151433352260243e-06,6.338191449591971255e-03
1.448275862068965658e+01,2.894962296689036362e-07,-6.388199867233520560e-07,5.982141007296370820e-03
1.500000000000000000e+01,1.725869028102173458e-07,-3.966214502935370242e-07,5.608895560215089622e-03
